Retailer,InvoiceDate,Region,State,City,Product,Price per Unit,UnitsSold,TotalSales,OperatingProfit,OperatingMargin,SalesMethod,state_code
sports direct,2019-11-29,Northeast,Vermont,Burlington,Men's Street Footwear,40.0,1395,55800.0,22320.0,40.0,In-store,VT
foot locker,2019-11-29,South,Mississippi,Jackson,Women's Athletic Footwear,45.0,1474,66330.0,35150.0,53.0,In-store,MS
amazon,2019-11-29,South,Texas,Houston,Women's Apparel,60.0,1734,104040.0,61380.0,59.0,Online,TX
foot locker,2019-11-30,Northeast,West Virginia,Charleston,Men's Street Footwear,35.0,1882,65870.0,25690.0,39.0,Online,WV
foot locker,2019-11-30,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,60.0,1872,112320.0,62900.0,56.0,Outlet,MN
foot locker,2019-11-30,Northeast,New Hampshire,Manchester,Men's Street Footwear,65.0,1423,92495.0,37000.0,40.0,Outlet,NH
foot locker,2019-11-30,South,Arkansas,Little Rock,Men's Apparel,65.0,1849,120185.0,69710.0,57.9999999999999,In-store,AR
walmart,2019-11-30,Midwest,Illinois,Chicago,Women's Street Footwear,65.0,1213,78845.0,33110.0,42.0,Online,IL
amazon,2019-11-30,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,55.0,1724,94820.0,55000.0,57.9999999999999,Online,SD
west gear,2019-11-30,Southeast,Georgia,Atlanta,Women's Street Footwear,40.0,1522,60880.0,24960.0,41.0,In-store,GA
foot locker,2019-11-30,West,Wyoming,Cheyenne,Men's Street Footwear,40.0,1757,70280.0,23900.0,34.0,Outlet,WY
sports direct,2019-11-30,South,Arkansas,Little Rock,Women's Athletic Footwear,60.0,1924,115440.0,48480.0,42.0,Online,AR
walmart,2019-11-30,South,Alabama,Birmingham,Men's Apparel,40.0,1146,45840.0,22000.0,48.0,Online,AL
sports direct,2019-11-30,Southeast,South Carolina,Charleston,Women's Apparel,55.0,1891,104005.0,47840.0,46.0,Outlet,SC
foot locker,2019-11-30,West,Washington,Seattle,Women's Street Footwear,30.0,1329,39870.0,21530.0,54.0,In-store,WA
sports direct,2019-11-30,West,Oregon,Portland,Women's Apparel,50.0,1965,98250.0,48140.0,49.0,In-store,OR
amazon,2019-11-30,South,Tennessee,Knoxville,Men's Athletic Footwear,35.0,1130,39550.0,15420.0,39.0,Online,TN
sports direct,2019-11-30,Southeast,South Carolina,Charleston,Men's Street Footwear,55.0,1409,77495.0,26350.0,34.0,In-store,SC
kohl's,2019-11-30,Northeast,Connecticut,Hartford,Women's Apparel,30.0,1328,39840.0,23110.0,57.9999999999999,Online,CT
sports direct,2019-11-30,South,Arkansas,Little Rock,Men's Athletic Footwear,60.0,1616,96960.0,37810.0,39.0,Online,AR
foot locker,2019-11-30,South,Tennessee,Knoxville,Women's Athletic Footwear,45.0,1598,71910.0,22290.0,31.0,Outlet,TN
sports direct,2019-11-30,Midwest,Missouri,St. Louis,Men's Apparel,65.0,1967,127855.0,43470.0,34.0,Online,MO
amazon,2019-11-30,Midwest,Indiana,Indianapolis,Women's Apparel,40.0,1509,60360.0,29580.0,49.0,Online,IN
kohl's,2019-11-30,Southeast,Florida,Orlando,Women's Athletic Footwear,40.0,1974,78960.0,24480.0,31.0,In-store,FL
walmart,2019-11-30,West,Hawaii,Honolulu,Women's Athletic Footwear,35.0,1899,66465.0,25260.0,38.0,Online,HI
amazon,2019-11-30,Southeast,Virginia,Richmond,Men's Apparel,55.0,1756,96580.0,35730.0,37.0,Online,VA
sports direct,2019-11-30,Southeast,Florida,Miami,Men's Apparel,40.0,1843,73720.0,25060.0,34.0,In-store,FL
foot locker,2019-11-30,Southeast,Florida,Miami,Men's Apparel,50.0,1172,58600.0,23440.0,40.0,In-store,FL
west gear,2019-12-01,South,Mississippi,Jackson,Women's Athletic Footwear,55.0,1812,99660.0,37870.0,38.0,Online,MS
amazon,2019-12-01,South,Texas,Dallas,Men's Street Footwear,50.0,1509,75450.0,24140.0,32.0,Online,TX
walmart,2019-12-01,Northeast,Connecticut,Hartford,Women's Street Footwear,70.0,1734,121380.0,66760.0,55.0,In-store,CT
west gear,2019-12-01,South,Arkansas,Little Rock,Women's Street Footwear,70.0,1167,81690.0,36760.0,45.0,In-store,AR
amazon,2019-12-01,Northeast,New York,New York,Women's Apparel,40.0,1294,51760.0,22260.0,43.0,Online,NY
walmart,2019-12-01,South,Mississippi,Jackson,Women's Apparel,30.0,1530,45900.0,25700.0,56.0,In-store,MS
amazon,2019-12-01,West,Hawaii,Honolulu,Women's Street Footwear,35.0,1277,44695.0,15200.0,34.0,Online,HI
kohl's,2019-12-01,West,California,San Francisco,Women's Street Footwear,45.0,1897,85365.0,43540.0,51.0,In-store,CA
sports direct,2019-12-01,Midwest,Iowa,Des Moines,Women's Athletic Footwear,50.0,1430,71500.0,41470.0,57.9999999999999,In-store,IA
kohl's,2019-12-01,Northeast,Pennsylvania,Philadelphia,Women's Apparel,50.0,1312,65600.0,20990.0,32.0,Outlet,PA
west gear,2019-12-01,South,Texas,Dallas,Women's Street Footwear,65.0,1213,78845.0,32330.0,41.0,Online,TX
amazon,2019-12-01,South,Texas,Houston,Men's Street Footwear,70.0,1889,132230.0,70080.0,53.0,Online,TX
walmart,2019-12-01,Northeast,West Virginia,Charleston,Women's Athletic Footwear,40.0,1142,45680.0,19190.0,42.0,Outlet,WV
amazon,2019-12-01,Northeast,Maryland,Baltimore,Women's Apparel,50.0,1895,94750.0,29370.0,31.0,Online,MD
west gear,2019-12-01,Southeast,Virginia,Richmond,Men's Apparel,30.0,1110,33300.0,15650.0,47.0,Outlet,VA
sports direct,2019-12-01,West,Idaho,Boise,Women's Athletic Footwear,35.0,1416,49560.0,20820.0,42.0,Outlet,ID
sports direct,2019-12-01,Midwest,Indiana,Indianapolis,Women's Apparel,30.0,1266,37980.0,15950.0,42.0,Online,IN
west gear,2019-12-01,Midwest,Iowa,Des Moines,Men's Street Footwear,65.0,1989,129285.0,56890.0,44.0,Outlet,IA
amazon,2019-12-01,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,65.0,1279,83135.0,30760.0,37.0,Online,SD
amazon,2019-12-01,Northeast,West Virginia,Charleston,Women's Apparel,50.0,1324,66200.0,33100.0,50.0,Online,WV
walmart,2019-12-01,South,Mississippi,Jackson,Men's Apparel,40.0,1679,67160.0,36940.0,55.0,In-store,MS
west gear,2019-12-01,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,35.0,1736,60760.0,21870.0,36.0,In-store,OK
walmart,2019-12-01,Midwest,Illinois,Chicago,Men's Street Footwear,30.0,1332,39960.0,21980.0,55.0,In-store,IL
kohl's,2019-12-01,West,Hawaii,Honolulu,Men's Athletic Footwear,70.0,1752,122640.0,62550.0,51.0,Outlet,HI
walmart,2019-12-01,Southeast,Kentucky,Louisville,Men's Street Footwear,45.0,1698,76410.0,29040.0,38.0,Online,KY
kohl's,2019-12-02,Southeast,Virginia,Richmond,Men's Street Footwear,45.0,1287,57915.0,34170.0,59.0,Outlet,VA
walmart,2019-12-02,Northeast,West Virginia,Charleston,Women's Athletic Footwear,45.0,1019,45855.0,26600.0,57.9999999999999,In-store,WV
sports direct,2019-12-02,South,Alabama,Birmingham,Men's Athletic Footwear,70.0,1169,81830.0,43370.0,53.0,In-store,AL
amazon,2019-12-02,Northeast,New York,Albany,Men's Apparel,30.0,1127,33810.0,11500.0,34.0,Online,NY
foot locker,2019-12-02,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,40.0,1630,65200.0,29340.0,45.0,In-store,WI
sports direct,2019-12-02,West,Colorado,Denver,Women's Street Footwear,70.0,1520,106400.0,35110.0,33.0,Outlet,CO
foot locker,2019-12-02,South,Arkansas,Little Rock,Men's Street Footwear,45.0,1588,71460.0,25730.0,36.0,Online,AR
walmart,2019-12-02,Northeast,New Jersey,Newark,Men's Apparel,60.0,1852,111120.0,36670.0,33.0,Online,NJ
walmart,2019-12-02,Southeast,Virginia,Richmond,Men's Street Footwear,30.0,1974,59220.0,34940.0,59.0,Online,VA
foot locker,2019-12-02,West,Utah,Salt Lake City,Men's Street Footwear,35.0,1823,63805.0,29350.0,46.0,In-store,UT
sports direct,2019-12-02,Northeast,New Jersey,Newark,Women's Apparel,45.0,1628,73260.0,35160.0,48.0,Outlet,NJ
foot locker,2019-12-02,Midwest,Illinois,Chicago,Men's Athletic Footwear,55.0,1130,62150.0,33560.0,54.0,In-store,IL
walmart,2019-12-02,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,45.0,1598,71910.0,23730.0,33.0,In-store,WI
kohl's,2019-12-02,Midwest,Kansas,Wichita,Women's Athletic Footwear,40.0,1483,59320.0,35000.0,59.0,Online,KS
sports direct,2019-12-02,Southeast,Kentucky,Louisville,Women's Street Footwear,45.0,1980,89100.0,40990.0,46.0,Online,KY
kohl's,2019-12-02,Midwest,Missouri,St. Louis,Women's Street Footwear,50.0,1449,72450.0,34050.0,47.0,Outlet,MO
west gear,2019-12-02,South,Louisiana,New Orleans,Men's Apparel,30.0,1106,33180.0,11940.0,36.0,In-store,LA
foot locker,2019-12-02,Midwest,Nebraska,Omaha,Women's Street Footwear,70.0,1632,114240.0,54840.0,48.0,In-store,NE
walmart,2019-12-02,Midwest,Missouri,St. Louis,Men's Apparel,50.0,1883,94150.0,41430.0,44.0,In-store,MO
walmart,2019-12-02,Midwest,Kansas,Wichita,Women's Apparel,30.0,1285,38550.0,14260.0,37.0,Outlet,KS
sports direct,2019-12-02,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,30.0,1758,52740.0,25840.0,49.0,In-store,MN
foot locker,2019-12-02,South,Arkansas,Little Rock,Men's Street Footwear,50.0,1532,76600.0,35240.0,46.0,In-store,AR
walmart,2019-12-02,Northeast,Delaware,Wilmington,Men's Apparel,55.0,1028,56540.0,22620.0,40.0,Outlet,DE
kohl's,2019-12-02,Southeast,Georgia,Atlanta,Women's Apparel,65.0,1999,129935.0,40280.0,31.0,Online,GA
kohl's,2019-12-02,West,Washington,Seattle,Women's Athletic Footwear,40.0,1624,64960.0,38330.0,59.0,Online,WA
amazon,2019-12-03,Midwest,Michigan,Detroit,Men's Street Footwear,60.0,1522,91320.0,44750.0,49.0,Online,MI
kohl's,2019-12-03,Southeast,Georgia,Atlanta,Men's Athletic Footwear,35.0,1898,66430.0,37870.0,56.9999999999999,Online,GA
sports direct,2019-12-03,Southeast,Kentucky,Louisville,Men's Street Footwear,35.0,1323,46305.0,21760.0,47.0,In-store,KY
amazon,2019-12-03,Northeast,New York,Albany,Women's Street Footwear,40.0,1477,59080.0,26590.0,45.0,Online,NY
amazon,2019-12-03,Northeast,Connecticut,Hartford,Men's Apparel,50.0,1523,76150.0,38080.0,50.0,Online,CT
amazon,2019-12-03,Southeast,Virginia,Richmond,Men's Street Footwear,50.0,1994,99700.0,55830.0,56.0,Online,VA
amazon,2019-12-03,Southeast,South Carolina,Charleston,Men's Apparel,60.0,1841,110460.0,61860.0,56.0,Online,SC
kohl's,2019-12-03,Southeast,Kentucky,Louisville,Women's Street Footwear,55.0,1061,58355.0,26840.0,46.0,Outlet,KY
foot locker,2019-12-03,Southeast,Georgia,Atlanta,Men's Apparel,55.0,1810,99550.0,47780.0,48.0,Online,GA
west gear,2019-12-03,West,Idaho,Boise,Women's Athletic Footwear,50.0,1372,68600.0,39100.0,56.9999999999999,Outlet,ID
kohl's,2019-12-03,Northeast,Delaware,Wilmington,Women's Apparel,70.0,1493,104510.0,56440.0,54.0,In-store,DE
kohl's,2019-12-03,Southeast,Florida,Miami,Women's Street Footwear,45.0,1782,80190.0,42500.0,53.0,Online,FL
amazon,2019-12-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,55.0,1043,57365.0,33270.0,57.9999999999999,Online,WI
kohl's,2019-12-03,Northeast,Connecticut,Hartford,Men's Apparel,50.0,1199,59950.0,34170.0,56.9999999999999,In-store,CT
amazon,2019-12-03,Midwest,Nebraska,Omaha,Women's Street Footwear,30.0,1501,45030.0,15760.0,35.0,Online,NE
foot locker,2019-12-03,South,Louisiana,New Orleans,Women's Apparel,40.0,1599,63960.0,35820.0,56.0,Outlet,LA
west gear,2019-12-03,West,California,Los Angeles,Women's Street Footwear,40.0,1879,75160.0,30820.0,41.0,Online,CA
west gear,2019-12-03,Southeast,Florida,Miami,Men's Street Footwear,55.0,1539,84645.0,44860.0,53.0,Online,FL
sports direct,2019-12-03,Southeast,South Carolina,Charleston,Women's Athletic Footwear,40.0,1699,67960.0,39420.0,57.9999999999999,Outlet,SC
kohl's,2019-12-03,Northeast,Maryland,Baltimore,Men's Street Footwear,60.0,1694,101640.0,43710.0,43.0,Outlet,MD
sports direct,2019-12-03,South,Texas,Dallas,Men's Athletic Footwear,55.0,1699,93445.0,45790.0,49.0,In-store,TX
amazon,2019-12-03,Southeast,Georgia,Atlanta,Men's Street Footwear,60.0,1825,109500.0,49280.0,45.0,Online,GA
foot locker,2019-12-03,Northeast,Delaware,Wilmington,Men's Apparel,65.0,1527,99255.0,49630.0,50.0,Online,DE
amazon,2019-12-03,Southeast,Kentucky,Louisville,Men's Athletic Footwear,35.0,1198,41930.0,23480.0,56.0,Online,KY
west gear,2019-12-03,Southeast,Florida,Orlando,Women's Street Footwear,45.0,1925,86625.0,25990.0,30.0,In-store,FL
west gear,2019-12-04,Southeast,Georgia,Atlanta,Men's Apparel,65.0,1678,109070.0,62170.0,56.9999999999999,In-store,GA
amazon,2019-12-04,West,Nevada,Las Vegas,Women's Athletic Footwear,60.0,1296,77760.0,45880.0,59.0,Online,NV
foot locker,2019-12-04,South,Mississippi,Jackson,Men's Street Footwear,45.0,1766,79470.0,41320.0,52.0,Online,MS
kohl's,2019-12-04,Southeast,Florida,Orlando,Women's Athletic Footwear,60.0,1972,118320.0,39050.0,33.0,In-store,FL
west gear,2019-12-04,South,Oklahoma,Oklahoma City,Women's Street Footwear,45.0,1294,58230.0,22130.0,38.0,Outlet,OK
amazon,2019-12-04,West,Wyoming,Cheyenne,Men's Athletic Footwear,30.0,1358,40740.0,12630.0,31.0,Online,WY
sports direct,2019-12-04,Southeast,Kentucky,Louisville,Women's Street Footwear,45.0,1355,60975.0,30490.0,50.0,Outlet,KY
west gear,2019-12-04,West,Colorado,Denver,Women's Apparel,55.0,1408,77440.0,35620.0,46.0,In-store,CO
amazon,2019-12-04,South,Arkansas,Little Rock,Men's Apparel,65.0,1378,89570.0,31350.0,35.0,Online,AR
west gear,2019-12-04,South,Texas,Dallas,Women's Street Footwear,35.0,1512,52920.0,28050.0,53.0,In-store,TX
sports direct,2019-12-04,Northeast,Delaware,Wilmington,Men's Athletic Footwear,35.0,1738,60830.0,31020.0,51.0,Outlet,DE
foot locker,2019-12-04,Southeast,Georgia,Atlanta,Women's Apparel,55.0,1290,70950.0,29090.0,41.0,In-store,GA
walmart,2019-12-04,Midwest,Montana,Billings,Women's Athletic Footwear,55.0,1119,61545.0,24620.0,40.0,Online,MT
kohl's,2019-12-04,Southeast,Georgia,Atlanta,Men's Street Footwear,60.0,1354,81240.0,31680.0,39.0,In-store,GA
walmart,2019-12-04,West,Washington,Seattle,Men's Apparel,65.0,1947,126555.0,54420.0,43.0,Outlet,WA
walmart,2019-12-04,South,Arkansas,Little Rock,Men's Athletic Footwear,55.0,1483,81565.0,45680.0,56.0,Outlet,AR
amazon,2019-12-04,Northeast,New Jersey,Newark,Women's Athletic Footwear,55.0,1307,71885.0,30190.0,42.0,Online,NJ
walmart,2019-12-04,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,55.0,1338,73590.0,37530.0,51.0,Online,NH
amazon,2019-12-04,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,35.0,1119,39165.0,20760.0,53.0,Online,IN
sports direct,2019-12-04,Southeast,Virginia,Richmond,Men's Apparel,55.0,1392,76560.0,31390.0,41.0,Online,VA
west gear,2019-12-04,Midwest,Kansas,Wichita,Men's Apparel,45.0,1975,88875.0,50660.0,56.9999999999999,Outlet,KS
sports direct,2019-12-04,West,Wyoming,Cheyenne,Men's Athletic Footwear,65.0,1804,117260.0,36350.0,31.0,Online,WY
sports direct,2019-12-04,Northeast,Maine,Portland,Men's Street Footwear,30.0,1981,59430.0,20800.0,35.0,Outlet,ME
foot locker,2019-12-04,South,Louisiana,New Orleans,Men's Street Footwear,40.0,1876,75040.0,28520.0,38.0,In-store,LA
foot locker,2019-12-04,West,Utah,Salt Lake City,Men's Apparel,40.0,1738,69520.0,41710.0,60.0,Outlet,UT
sports direct,2019-12-05,Northeast,New Hampshire,Manchester,Women's Street Footwear,40.0,1693,67720.0,34540.0,51.0,Outlet,NH
walmart,2019-12-05,Northeast,Delaware,Wilmington,Women's Apparel,70.0,1819,127330.0,57300.0,45.0,Outlet,DE
walmart,2019-12-05,Southeast,North Carolina,Charlotte,Women's Street Footwear,50.0,1173,58650.0,20530.0,35.0,In-store,NC
foot locker,2019-12-05,Southeast,Kentucky,Louisville,Women's Athletic Footwear,60.0,1194,71640.0,22920.0,32.0,Online,KY
walmart,2019-12-05,South,Alabama,Birmingham,Men's Apparel,45.0,1074,48330.0,26580.0,55.0,Outlet,AL
amazon,2019-12-05,Northeast,Massachusetts,Boston,Women's Apparel,65.0,1906,123890.0,43360.0,35.0,Online,MA
kohl's,2019-12-05,Midwest,Kansas,Wichita,Women's Street Footwear,65.0,1209,78585.0,24360.0,31.0,In-store,KS
foot locker,2019-12-05,South,Louisiana,New Orleans,Women's Street Footwear,55.0,1311,72105.0,28840.0,40.0,Online,LA
foot locker,2019-12-05,Southeast,Virginia,Richmond,Women's Athletic Footwear,60.0,1520,91200.0,31920.0,35.0,In-store,VA
walmart,2019-12-05,Midwest,Michigan,Detroit,Women's Apparel,40.0,1993,79720.0,33480.0,42.0,Online,MI
sports direct,2019-12-05,Southeast,Georgia,Atlanta,Men's Apparel,40.0,1551,62040.0,21710.0,35.0,Outlet,GA
walmart,2019-12-05,Midwest,Montana,Billings,Women's Athletic Footwear,50.0,1554,77700.0,27970.0,36.0,Outlet,MT
sports direct,2019-12-05,Midwest,Ohio,Columbus,Women's Athletic Footwear,60.0,1159,69540.0,25030.0,36.0,Online,OH
foot locker,2019-12-05,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,65.0,1428,92820.0,54760.0,59.0,Online,OK
kohl's,2019-12-05,South,Tennessee,Knoxville,Women's Street Footwear,35.0,1193,41755.0,23800.0,56.9999999999999,Outlet,TN
west gear,2019-12-05,West,Washington,Seattle,Women's Street Footwear,35.0,1781,62335.0,28670.0,46.0,In-store,WA
kohl's,2019-12-05,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,40.0,1810,72400.0,41990.0,57.9999999999999,Online,IN
west gear,2019-12-05,Midwest,Iowa,Des Moines,Women's Street Footwear,60.0,1866,111960.0,49260.0,44.0,In-store,IA
amazon,2019-12-05,Midwest,Missouri,St. Louis,Men's Athletic Footwear,65.0,1289,83785.0,30160.0,36.0,Online,MO
walmart,2019-12-05,Southeast,North Carolina,Charlotte,Women's Apparel,55.0,1864,102520.0,58440.0,56.9999999999999,In-store,NC
amazon,2019-12-05,Northeast,Connecticut,Hartford,Men's Athletic Footwear,50.0,1340,67000.0,39530.0,59.0,Online,CT
west gear,2019-12-05,Southeast,Virginia,Richmond,Men's Athletic Footwear,45.0,1270,57150.0,22860.0,40.0,Outlet,VA
sports direct,2019-12-05,Northeast,Vermont,Burlington,Men's Street Footwear,40.0,1962,78480.0,40020.0,51.0,In-store,VT
amazon,2019-12-05,Midwest,North Dakota,Fargo,Women's Athletic Footwear,65.0,1019,66235.0,25170.0,38.0,Online,ND
foot locker,2019-12-05,Southeast,Virginia,Richmond,Men's Athletic Footwear,60.0,1847,110820.0,53190.0,48.0,In-store,VA
west gear,2019-12-06,Midwest,Kansas,Wichita,Men's Street Footwear,50.0,1060,53000.0,23320.0,44.0,Online,KS
foot locker,2019-12-06,Northeast,West Virginia,Charleston,Men's Street Footwear,55.0,1852,101860.0,37690.0,37.0,In-store,WV
foot locker,2019-12-06,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,40.0,1016,40640.0,12600.0,31.0,Online,NC
amazon,2019-12-06,Southeast,Georgia,Atlanta,Men's Athletic Footwear,35.0,1409,49315.0,19230.0,39.0,Online,GA
foot locker,2019-12-06,Northeast,New Jersey,Newark,Women's Street Footwear,65.0,1480,96200.0,32710.0,34.0,Online,NJ
kohl's,2019-12-06,Southeast,Virginia,Richmond,Women's Apparel,30.0,1820,54600.0,24020.0,44.0,Online,VA
kohl's,2019-12-06,Southeast,Georgia,Atlanta,Men's Athletic Footwear,60.0,1312,78720.0,34640.0,44.0,Online,GA
walmart,2019-12-06,Southeast,Virginia,Richmond,Women's Apparel,50.0,1647,82350.0,36230.0,44.0,In-store,VA
foot locker,2019-12-06,Northeast,New Jersey,Newark,Women's Apparel,60.0,1485,89100.0,46330.0,52.0,In-store,NJ
sports direct,2019-12-06,Northeast,West Virginia,Charleston,Men's Street Footwear,40.0,1932,77280.0,23960.0,31.0,Outlet,WV
kohl's,2019-12-06,Northeast,Rhode Island,Providence,Men's Street Footwear,50.0,1039,51950.0,29610.0,56.9999999999999,In-store,RI
west gear,2019-12-06,West,New Mexico,Albuquerque,Women's Athletic Footwear,50.0,1471,73550.0,41190.0,56.0,In-store,NM
west gear,2019-12-06,Southeast,Kentucky,Louisville,Women's Street Footwear,35.0,1477,51695.0,28430.0,55.0,In-store,KY
walmart,2019-12-06,South,Louisiana,New Orleans,Men's Athletic Footwear,35.0,1045,36575.0,16460.0,45.0,Online,LA
west gear,2019-12-06,Southeast,Kentucky,Louisville,Men's Street Footwear,65.0,1707,110955.0,47710.0,43.0,In-store,KY
walmart,2019-12-06,West,Washington,Seattle,Women's Athletic Footwear,55.0,1369,75295.0,42920.0,56.9999999999999,Online,WA
west gear,2019-12-06,Southeast,North Carolina,Charlotte,Women's Street Footwear,30.0,1283,38490.0,20010.0,52.0,Outlet,NC
west gear,2019-12-06,Midwest,Indiana,Indianapolis,Men's Apparel,65.0,1819,118235.0,40200.0,34.0,Outlet,IN
foot locker,2019-12-06,South,Arkansas,Little Rock,Women's Street Footwear,45.0,1555,69975.0,34990.0,50.0,Outlet,AR
sports direct,2019-12-06,West,New Mexico,Albuquerque,Men's Athletic Footwear,50.0,1000,50000.0,24000.0,48.0,In-store,NM
kohl's,2019-12-06,Northeast,Massachusetts,Boston,Women's Apparel,55.0,1001,55055.0,17070.0,31.0,Outlet,MA
foot locker,2019-12-06,Northeast,West Virginia,Charleston,Men's Apparel,60.0,1701,102060.0,44910.0,44.0,Outlet,WV
west gear,2019-12-06,Northeast,New Jersey,Newark,Women's Street Footwear,50.0,1994,99700.0,39880.0,40.0,In-store,NJ
walmart,2019-12-06,Midwest,North Dakota,Fargo,Men's Street Footwear,30.0,1575,47250.0,17960.0,38.0,Outlet,ND
foot locker,2019-12-06,South,Tennessee,Knoxville,Men's Athletic Footwear,65.0,1838,119470.0,68100.0,56.9999999999999,Outlet,TN
sports direct,2019-12-07,South,Arkansas,Little Rock,Women's Apparel,70.0,1569,109830.0,53820.0,49.0,Online,AR
foot locker,2019-12-07,Southeast,Virginia,Richmond,Women's Athletic Footwear,60.0,1009,60540.0,20580.0,34.0,Outlet,VA
kohl's,2019-12-07,South,Texas,Dallas,Men's Athletic Footwear,65.0,1174,76310.0,22890.0,30.0,Online,TX
amazon,2019-12-07,West,Colorado,Denver,Men's Athletic Footwear,65.0,1981,128765.0,39920.0,31.0,Online,CO
foot locker,2019-12-07,West,New Mexico,Albuquerque,Women's Street Footwear,50.0,1370,68500.0,32200.0,47.0,Online,NM
foot locker,2019-12-07,West,Utah,Salt Lake City,Men's Athletic Footwear,55.0,1039,57145.0,30290.0,53.0,Outlet,UT
amazon,2019-12-07,Southeast,Florida,Miami,Women's Apparel,60.0,1166,69960.0,21690.0,31.0,Online,FL
walmart,2019-12-07,South,Alabama,Birmingham,Men's Street Footwear,50.0,1740,87000.0,36540.0,42.0,Online,AL
amazon,2019-12-07,West,Arizona,Phoenix,Men's Apparel,30.0,1963,58890.0,30620.0,52.0,Online,AZ
west gear,2019-12-07,Midwest,Missouri,St. Louis,Women's Street Footwear,30.0,1548,46440.0,25080.0,54.0,Online,MO
kohl's,2019-12-07,Southeast,Virginia,Richmond,Women's Athletic Footwear,40.0,1214,48560.0,25740.0,53.0,Outlet,VA
west gear,2019-12-07,Midwest,Indiana,Indianapolis,Women's Street Footwear,35.0,1091,38185.0,17570.0,46.0,In-store,IN
sports direct,2019-12-07,Midwest,Iowa,Des Moines,Men's Apparel,35.0,1208,42280.0,24520.0,57.9999999999999,Online,IA
walmart,2019-12-07,South,Arkansas,Little Rock,Men's Athletic Footwear,50.0,1854,92700.0,39860.0,43.0,In-store,AR
sports direct,2019-12-07,Midwest,Indiana,Indianapolis,Women's Apparel,55.0,1178,64790.0,33690.0,52.0,Online,IN
kohl's,2019-12-07,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,55.0,1942,106810.0,36320.0,34.0,Outlet,SD
kohl's,2019-12-07,Midwest,Montana,Billings,Men's Street Footwear,60.0,1309,78540.0,30630.0,39.0,Outlet,MT
west gear,2019-12-07,Midwest,Kansas,Wichita,Men's Athletic Footwear,30.0,1538,46140.0,18460.0,40.0,Online,KS
amazon,2019-12-07,Midwest,Iowa,Des Moines,Men's Street Footwear,65.0,1821,118365.0,59180.0,50.0,Online,IA
foot locker,2019-12-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,45.0,1165,52425.0,26740.0,51.0,Online,NJ
kohl's,2019-12-07,Southeast,Kentucky,Louisville,Men's Street Footwear,60.0,1434,86040.0,35280.0,41.0,Online,KY
kohl's,2019-12-07,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,50.0,1735,86750.0,28630.0,33.0,Online,NC
west gear,2019-12-07,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,45.0,1249,56205.0,25850.0,46.0,Outlet,IN
kohl's,2019-12-07,South,Louisiana,New Orleans,Women's Apparel,35.0,1691,59185.0,20710.0,35.0,Online,LA
kohl's,2019-12-07,Northeast,New Jersey,Newark,Women's Apparel,45.0,1052,47340.0,27460.0,57.9999999999999,Outlet,NJ
kohl's,2019-12-08,South,Alabama,Birmingham,Men's Athletic Footwear,60.0,1725,103500.0,62100.0,60.0,Online,AL
walmart,2019-12-08,Southeast,Georgia,Atlanta,Women's Apparel,60.0,1333,79980.0,27190.0,34.0,In-store,GA
walmart,2019-12-08,Southeast,South Carolina,Charleston,Men's Athletic Footwear,60.0,1027,61620.0,29580.0,48.0,Online,SC
amazon,2019-12-08,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,35.0,1444,50540.0,23750.0,47.0,Online,OK
kohl's,2019-12-08,Southeast,Virginia,Richmond,Women's Apparel,70.0,1775,124250.0,52180.0,42.0,Outlet,VA
amazon,2019-12-08,West,Idaho,Boise,Men's Street Footwear,30.0,1942,58260.0,20970.0,36.0,Online,ID
amazon,2019-12-08,West,Hawaii,Honolulu,Women's Apparel,40.0,1996,79840.0,32730.0,41.0,Online,HI
sports direct,2019-12-08,Southeast,Virginia,Richmond,Women's Athletic Footwear,55.0,1129,62095.0,20490.0,33.0,Online,VA
foot locker,2019-12-08,Southeast,North Carolina,Charlotte,Men's Street Footwear,35.0,1263,44205.0,15910.0,36.0,In-store,NC
sports direct,2019-12-08,South,Louisiana,New Orleans,Men's Street Footwear,50.0,1386,69300.0,29800.0,43.0,In-store,LA
foot locker,2019-12-08,Midwest,Ohio,Columbus,Women's Apparel,55.0,1577,86735.0,35560.0,41.0,In-store,OH
west gear,2019-12-08,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,65.0,1460,94900.0,51250.0,54.0,Online,OK
